input_text,output_line1,output_line2
AT DISCHARGE OF 1-113-J WARM AMMONIA PUMP,1-113-J WARM,NH3 PUMP
LIQUID AMMONIA FROM 1-147-D TO 1-149-D,LIQ NH3 147D,->1-149-D
FROM 1-162-C TO AMMONIA SCRUBBER 1-123-D,1-162-C->,1-123-D
PURGE GAS TO OSBL NH3 FLARE,PURGE GAS->,NH3 FLARE
MP STEAM TO 1-160-C NH3 DISTIL COLUMN REBOILER,MP STEAM,->1-160-C
AT DISCHARGE OF 1-124-J COLD NH3 PRODUCT PUMP,1-124-J COLD,NH3 PUMP
MP STEAM FROM 141-D TO 123-C1,MP STEAM,141D->123C1
MP STEAM TO INTER CONNECTING DISTRIBUTION,MP STEAM->,INTERCONN
FLOW CONTROL AT DISCHARGE LINE OF 118-J,1-118-J,DISCH LINE
LOW PRESSURE STEAM TO LP STEAM HEADER,LP STEAM->,LP HDR
SAFETY SHOWER AT AMMONIA SYN. LOOP,SFTY SHOWER,NH3 PROC AREA
SAFETY SHOWER AT AMM. REMOVAL UNIT,SFTY SHOWER,NH3 REM AREA
SAFETY SHOWER AT AMM. NEAR PIPE RACK,SFTY SHOWER,PIPE RACK
AMMONIA COMPRESSOR HOUSE AREA,NH3 COMPR.,HOUSE
NITROGEN FROM B.L.  TO 1-150-D SYNGAS SUCTION DRUM,N2 B.L.->,1-150-D SYNGAS
HYDROGEN FROM B.L.,H2 FROM,BL
FROM NITROGEN DISTRIBUTION,FROM N2,DISTRIBUTION
SYN GAS TO 1-105-D AMM SYN CONVERTER,SYN GAS->,1-105-D
SYN GAS FROM 1-121-C TO 1-105-D,SYN GAS 121C,->1-105-D
SYN GAS TO 1-102-B HEATER,SYN GAS->,1-102-B
FROM 1-150-D TO 1-103-J 1ST STAGE SUCTION,NH3 1-105-J,->1-152-D
FROM FUEL GAS DISTRIBUTION,FROM FUEL,GAS DIST
LIQUID AMMONIA TO 1-125-D,LIQ NH3,->1-125-D
SCT FROM 1-118-J/JA,SCT FROM,1-118-J/JA
COOLING WATER SUPPLY DISTRIBUTION,COOL WTR SUP,->1-127-C
COOLING WATER SUPPLY FROM DISTRIBUTION,CW SUPPLY,FROM DIST
NITROGEN FROM B.L.,N2 B.L.->,1-150-D SYNGAS
COMP. 2ND SEC. SUCTION FLOW,1-105-J 2ND,SUCT FLOW
FROM RECYCLE STAGE TO TO 1-121-C,FROM 1-121-C,->RECYCLE
BFW TO 1-123-C1/C2,BFW FROM,OSBL
SYN. GAS TO 1-122-C2,SYN GAS->,1-105-D
SYN. GAS TO 1-105-D ANNULUS,SYN GAS 121C,->1-105-D
SYN. GAS TO 1-105-D BED#1 QUENCH,SYN GAS->1ST,BED 1-105-D
SYN. GAS TO 1-102-B HEATER,SYN GAS->,1-102-B
COMP. 2ND SEC. DISCHARGE 1-105-J,NH3 1-105-J,->1-120-CF1
COMP. 3RD SEC. DISCHARGE FLOW,NH3 1-105-J,->1-120-CF2
REFRIGERATION PURGE,GAS NH3 FROM,1-149-D
AMMONIA REFLUX PUMP DISCHARGE,LIQ NH3,->1-125-D
LIQUID AMMONIA TO 1-149-D,LIQ NH3 147D,->1-149-D
AMMONIA LET DOWN DRUM VAPOR OUTLET,GAS NH3 FROM,1-147-D
STRIPPED WATER TO 123-D,1-162-C->,1-123-D
MP STEAM TO / FROM OSBL,MP STEAM->,INTERCONN
1-118-J/JA DISCHARGE,1-118-J,DISCH LINE
MP STEAM TO 105-JT,MP STEAM,->1-105-JT
NATURAL GAS FROM B.L. TO 1-12-B,FUEL GAS->,START UP HTR
DEMIN WATER FROM B.L,STEAM->DEMI,WATER UNIT
STEAM CONDENSATE OUTLET FROM 1-118-J/JA & 1-160-C,STEAM->DEMI,WATER UNIT
LOW PRESSURE STEAM FROM B.L.,LP STEAM->,LP HDR
LP NITROGEN FROM B.L.,TO NITROGEN,HEADEAR
INSRTRUMENT AIR FROM B.L,INSTR AIR->,HEADER
PLANT AIR FROM B.L.,PLANT AIR->,HEADER
FUEL GAS FOR PURGING AMMONIA FLARE HEADER,FROM FUEL,GAS DIST
LP COMP. 1ST STAGE SUCTION FLOW,LP COMP 1ST,SUCT FLOW
HP COMP. 2ND STAGE SUCTION FLOW,HP COMP 2ND,SUCT FLOW
HP COMP. 3RD STAGE DISCHARGE FLOW,HP COMP 3RD,DISCH FLOW
LP COMP. PRIMARY SEAL GAS SUPPLY FLOW (DE),LP COMP SEAL,FLOW (DE)
LP COMP. PRIMARY SEAL GAS SUPPLY FLOW (NDE),LP COMP SEAL,FLOW (NDE)
LP COMP. PRIMARY SEAL GAS VENT FLOW (DE) (ALARM),LP COMP SEAL,FLOW (DE)
LP COMP. PRIMARY SEAL GAS VENT FLOW (DE) (TRIP),LP COMP SEAL,FLOW (DE)
LP COMP. PRIMARY SEAL GAS VENT FLOW (NDE) (ALARM),LP COMP SEAL,FLOW (NDE)
LP COMP. PRIMARY SEAL GAS VENT FLOW (NDE) (TRIP),LP COMP SEAL,FLOW (NDE)
LP COMP. SECONDARY SEAL GAS SUPPLY FLOW (DE),LP COMP SEAL,FLOW (DE)
LP COMP. SECONDARY SEAL GAS SUPPLY FLOW (NDE),LP COMP SEAL,FLOW (NDE)
HP COMP. PRIMARY SEAL GAS SUPPLY FLOW (DE),HP COMP SEAL,FLOW DE
HP COMP. PRIMARY SEAL GAS SUPPLY FLOW (NDE),HP COMP SEAL,FLOW NDE
HP COMP. PRIMARY SEAL GAS VENT FLOW (DE) (ALARM),HP COMP SEAL,VNT FLW(DE)
HP COMP. PRIMARY SEAL GAS VENT FLOW (DE) (TRIP),HP COMP SEAL,VNT FLW(DE)
HP COMP. PRIMARY SEAL GAS VENT FLOW (NDE) (ALARM),HP COMP SEAL,VNT FLW(NDE)
HP COMP. PRIMARY SEAL GAS VENT FLOW (NDE) (TRIP),HP COMP SEAL,VNT FLW(NDE)
HP COMP. SECONDARY SEAL GAS SUPPLY FLOW (DE),HP COMP SEAL,FLOW (DE)
HP COMP. SECONDARY SEAL GAS SUPPLY FLOW (NDE),HP COMP SEAL,FLOW (NDE)
SYN GAS TO 1-105-D BED#1 QUENCH,SYN GAS->1ST,BED 1-105-D
LP COMP. 2ND STAGE DISCHARGE FLOW,LP COMP 2ND,DISC FLOW
COOLING WATER RETURN,COOL WATER,RETURN
GAS AMMONIA FROM 1-147-D,GAS NH3 FROM,1-147-D
API SEAL PLAN 72+76,API SEAL,PLAN 52
MP STEAM TO 105-JT STEAM TURBINE,MP STEAM,->1-105-JT
FUEL GAS TO 1-102-B START-UP HEATER,FUEL GAS->,START UP HTR
STEAM TURBINE CONDENSATE TO DEMI WATER UNIT,STEAM->DEMI,WATER UNIT
TO NITROGEN HEADEAR,TO NITROGEN,HEADEAR
SERVICE WATER TO SERVICE WATER DISTRIBUTION,SERVICE WTR,DISTRIBUTION
INSRTRUMENT AIR TO HEADER,INSTR AIR->,HEADER
PLANT AIR TO HEADER,PLANT AIR->,HEADER
BFW FROM OSBL,BFW FROM,OSBL
PUMP 1-130-J AUTO\MANUAL,PUMP 1-130-J,AUTO/MAN
PUMP 1-130-JA AUTO\MANUAL,PMP 1-130-JA,AUTO/MAN
LIQUID AMMONIA FROM 1-146-D TO 1-147-D,LIQ NH3,->1-147-D
SUCTION PRESSURE OF 1-118-J,SUC PRESS,1-118-J
DISCHARGE LINE OF 118-JA,1-118-JA,DISCH LINE
TURBINE GLAND SEALING STEAM,TURBINE SEAL,GLAND COND
INSTRUMENT AIR FROM INSTRUMENT AIR DISTRIBUTION,INSTR AIR,FRM DISTR
DISCHARGE OF 1-113-J WARM AMMONIA PUMP,1-113-J WARM,NH3 PUMP
LIQUID AMMONIA TO 149-D,LIQ NH3 147D,->1-149-D
LP AMMONIA SCRUBBER VAPOR OUTLET,PURGE GAS->,NH3 FLARE
STEAM TO 1-160-C,MP STEAM,->1-160-C
STEAM CONDENSATE TO 1-124-J/JA DISCHARGE,SCT FROM,1-118-J/JA
COLD NH3 PRODUCT FROM 1-124-J/JA TO B.L.,1-124-J COLD,NH3 PUMP
MP STEAM BLOWDOWN DRUM OUTLET,MP STEAM,141D->123C1
NATURAL GAS FROM B.L TO 1-102-B,FUEL GAS->,START UP HTR
STEAM CONDENSATE OUTLET FROM 1-118J/JA AND 1-160-C,STEAM->DEMI,WATER UNIT
LP STEAM FROM B.L,LP STEAM->,LP HDR
COOLING WATER SUPPLY FROM B.L.,COOL WTR SUP,->1-127-C
COOLING WATER SUPPLY TO PUMPS/ BOILER,CW SUPPLY,FROM DIST
LP NITROGEN FROM B.L,TO NITROGEN,HEADEAR
SERVICE WATER FROM B.L,SERVICE WTR,DISTRIBUTION
INSTRUMENT AIR FROM B.L,INSTR AIR->,HEADER
PLANT AIR FROM B.L,PLANT AIR->,HEADER
GAS NH3 FROM 3RD STAGE 1-105-J TO 1-152-D,NH3 1-105-J,->1-152-D
GAS NH3 FROM 3RD STAGE 1-105-J TO 1-120-CF1,NH3 1-105-J,->1-120-CF1
GAS NH3 FROM 3RD STAGE 1-105-J TO 1-120-CF2,NH3 1-105-J,->1-120-CF2
Toxic gas detector (ammonia) – Hazard. conv.,NH3 IN HOUSE,DETECTION
AMMONIA DET. IN AMMONIA COMPR. HOUSE,NH3 IN HOUSE,DETECTION
AMMONIA DET. IN AMMONIA REMOVAL UNIT,NH3 REMOVAL,UNIT
AMMONIA DET. IN AMMONIA SYNTH. LOOP&REFRIG.,NH3 LOOP&,REFRIGER
Flammable gas detector (hydrogen) – Hazard. conv.,H2 DETECT IN,COMPR HOUSE
HYDROGEN DET. IN AMMONIA COMPR. HOUSE,H2 DETECT IN,COMPR HOUSE
HYDROC. DET. IN AMMONIA SYNTH. LOOP&REFRIG.,CH DETECT IN,NH3 SYNTH
HYDROGEN H ALARM IN AMMONIA COMPR. HOUSE,H2 DETECT IN,COMPR HOUSE
HYDROC. H ALARM IN AMMONIA SYNTH. LOOP&REFRIG.,CH DETECT IN,NH3 SYNTH
HYDROGEN HH ALARM IN AMMONIA COMPR. HOUSE,H2 DETECT IN,COMPR HOUSE
HYDROC. HH ALARM DET. IN AMMONIA SYNTH. LOOP&REFRIG.,CH DETECT IN,NH3 SYNTH
HYDROGEN IND. IN AMMONIA COMPR. HOUSE,H2 DETECT IN,COMPR HOUSE
HYDROC. IND. IN AMMONIA SYNTH. LOOP&REFRIG.,CH DETECT IN,NH3 SYNTH
AMMONIA H ALARM IN AMMONIA COMPR. HOUSE,NH3 IN HOUSE,DETECTION
AMMONIA H ALARM IN AMMONIA REMOVAL UNIT,NH3 REMOVAL,UNIT
AMMONIA H ALARM IN AMMONIA SYNTH. LOOP&REFRIG.,NH3 LOOP&,REFRIGER
AMMONIA HH ALARM IN AMMONIA COMPR. HOUSE,NH3 IN HOUSE,DETECTION
AMMONIA HH ALARM IN AMMONIA REMOVAL UNIT,NH3 REMOVAL,UNIT
AMMONIA HH ALARM IN AMMONIA SYNTH. LOOP&REFRIG.,NH3 LOOP&,REFRIGER
AMMONIA IND. IN AMMONIA COMPR. HOUSE,NH3 IN HOUSE,DETECTION
AMMONIA IND. IN AMMONIA REMOVAL UNIT,NH3 REMOVAL,UNIT
AMMONIA IND. IN AMMONIA SYNTH. LOOP&REFRIG.,NH3 LOOP&,REFRIGER
Syn Gas from 1st stage 1-103-J Manual Shutdown,103J MANUAL,SHUTDOWN
SYN GAS TO NH3 FLARE HEADER,SYN GAS->,FLARE HDR
BY-PASS TO 141-D,1-121-C->,1-124-C
1-103-J 3RD STAGE TO 1-121-CA,1-103-J 3RD,->1-121-CA
1-121-CA TUBE BY-PASS TO 1-105-D,1-121-CA->,1-105-D
FROM 1-123-C2 SYN GAS DISCHARGE TO 1-121-C,1-123-C2->,1-121-C SYN
LIQUID AMMONIA FROM 1-147-D AMMONIA LETDOWN DRUM,LIQ NH3 FRM,1-147-D
HV for Main Fuel Ring,HV MAIN,FUEL RING
HV for Pilot Fuel Ring,HV PILOT,FUEL RING
UNIT ISOLATION,UNIT,ISOLATION
MOS ENABLED AMMONIA,MOS ENABLED,AMMONIA
ATLEAST ONE MOS ACTIVE AMMONIA,ONE MOS,ACTIVE NH3
SYNTHESIS GAS COMPRESSOR 1-103-J TRIP,SYNGAS COMP,1-103-J TRIP
AMMONIA REFRIGERANT COMPRESSOR 1-105-J TRIP,1-105-J,TRIP
FROM 1-LIC-30100-B,FROM,1LIC30100B
1-120-CF2 REFRIGERANT FLASH DRUM,1-120-CF2,FLASH DRUM
NH3 ATM FLASH DRUM 1-152-D,NH3 ATM FLAS,1-152-D
1-149-D REFRIGERANT RECEIVER LEVEL,1-149-D RECV,LEVEL
1/3 ELEMENT LEVEL CONTROL MODE SELECTOR,1/3 LEVEL,CONTROL
HYDROGEN FROM B.L,H2 FROM,BL
NITROGEN FROM B.L,NITROGEN,FROM B.L
SYN GAS TO 1-103-J 2ND STAGE,SYN GAS->,103J 2ND STG
EMERGENCY SHUTDOWN PB,EME SHUTDWN,PUSH BUTTN
TRIP RESET PB,TRIP RESET,PB
MAIN MOTOR START PB,MAIN MOTOR,START PB
LAMP TEST PB,LAMP  TEST,PB
1-121-C EFFLUENT TO 1-124-C,1-121-C->,1-124-C
TURBINE SPEED CONTROL REMOTE/LOCAL SELECTOR,TURBINE SPED,LOC/REMOTE
TURBINE START PB,TURBINE STRT,PB
TURBINE SPEED SETPOINT RAISE PB,TURBINE SPED,RAISE PB
TURBINE SPEED SETPOINT LOWER PB,TURBINE SPED,LOWER PB
FUEL GAS FOR CONTINUOUS PILOTS AND IGNITION PILOTS,FUEL GAS,FOR PILOTS
WARM AMMONIA PRODUCT PUMPS 1-113-J/JA,WARM NH3,1-113-J/JA
LIQUID AMMONIA TO 1-120-CF2,LIQ NH3,1-120-CF2
AMMONIA LETDOWN DRUM 1-147-D LEVEL,147D DRUM,LEVEL
SELECTOR SWITCH FOR LEVEL TRASNMITTERS,SEL SWITCH,LVL TRASM
LIQUID AMMONIA TO/FROM BATTERY LIMIT,LIQ NH3->,BL
COLD AMMONIA PRODCT PUMPS 1-124-J/JA TRIP,1-124-J/JA,TRIP
MASTER MOS AMMONIA,MASTER MOS,AMMONIA
REMOVE ALL MOS,REMOVE ALL,MOS
HORN ACKNOWLEDGE AMMONIA,HORN ACKN,AMMONIA
TURBINE TRIP SOV TEST EXECUTE PB,TURBINE TRIP,SOV TEST
"TURBINE TRIP SOV TEST MODE SELECTOR (""SOV-A"" / NOR / SOV-B)",TURBINE TRIP,SOV TEST
"TURBINE TRIP SOV TEST MODE SELECTOR (SOV-A / NOR / ""SOV-B"")",TURBINE TRIP,SOV TEST
NITROGEN TO 1-102-B PILOT BURNER,N2->1-102-B,PILOT
OPEN MAIN FUEL GAS VALVE SWITCH,OPEN MINFUEL,VLV SWITCH
OPEN PILOT FUEL GAS VALVE SWITCH,OPEN PLTFUEL,VLV SWITCH
START UP HEATER 1-102-B TRIP,1-102-B SUH,TRIP
START PURGE SEQUENCE,START PURGE,SEQUENCE
Furnace Main Burners,STARTUP,MAIN BRN
Furnace Pilot Burners,STARTUP,PILOT BURN
START-UP BURNER LOCAL/REMOTE,STRATUP HTR,LOCAL/REMOTE
LP SET MAIN BURNER 1,MAIN,BURNER 1
DCS SET MAIN BURNER 1,MAIN,BURNER 1
LP SET MAIN BURNER 2,MAIN,BURNER 2
DCS SET MAIN BURNER 2,MAIN,BURNER 2
LP SET MAIN BURNER 3,MAIN,BURNER 3
DCS SET MAIN BURNER 3,MAIN,BURNER 3
LP SET MAIN BURNER 4,MAIN,BURNER 4
DCS SET MAIN BURNER 4,MAIN,BURNER 4
LP SET MAIN BURNER 5,MAIN,BURNER 5
DCS SET MAIN BURNER 5,MAIN,BURNER 5
LP SET MAIN BURNER 6,MAIN,BURNER 6
DCS SET MAIN BURNER 6,MAIN,BURNER 6
LP SET MAIN BURNER 7,MAIN,BURNER 7
DCS SET MAIN BURNER 7,MAIN,BURNER 7
LP SET MAIN BURNER 8,MAIN,BURNER 8
DCS SET MAIN BURNER 8,MAIN,BURNER 8
LP SET MAIN BURNER 9,MAIN,BURNER 9
DCS SET MAIN BURNER 9,MAIN,BURNER 9
LP SET MAIN BURNER 10,MAIN,BURNER 10
DCS SET MAIN BURNER 10,MAIN,BURNER 10
LP SET PILOT BURNER 1,PILOT,BURNER 1
DCS SET PILOT BURNER 1,PILOT,BURNER 1
LP SET PILOT BURNER 2,PILOT,BURNER 2
DCS SET PILOT BURNER 2,PILOT,BURNER 2
LP SET PILOT BURNER 3,PILOT,BURNER 3
DCS SET PILOT BURNER 3,PILOT,BURNER 3
LP SET PILOT BURNER 4,PILOT,BURNER 4
DCS SET PILOT BURNER 4,PILOT,BURNER 4
LP SET PILOT BURNER 5,PILOT,BURNER 5
DCS SET PILOT BURNER 5,PILOT,BURNER 5
LP SET PILOT BURNER 6,PILOT,BURNER 6
DCS SET PILOT BURNER 6,PILOT,BURNER 6
LP SET PILOT BURNER 7,PILOT,BURNER 7
DCS SET PILOT BURNER 7,PILOT,BURNER 7
LP SET PILOT BURNER 8,PILOT,BURNER 8
DCS SET PILOT BURNER 8,PILOT,BURNER 8
LP SET PILOT BURNER 9,PILOT,BURNER 9
DCS SET PILOT BURNER 9,PILOT,BURNER 9
LP SET PILOT BURNER 10,PILOT,BURNER 10
DCS SET PILOT BURNER 10,PILOT,BURNER 10
FOR 1-SDV-001 DELUGE VALVE SYSTEM,INSTR AIR->,1-103-JL
FOR 1-SDV-002 DELUGE VALVE,INSTR AIR->,3-83-PU-001
SCS0211 SELECTOR,SCS0211,SELECTOR
1-103-JM SYNTHESIS GAS COMPRESSOR 1ST STAGE MOTOR,1-103-JM,COMP MOTOR
1-113-J WARM AMMONIA PRODUCT PUMP,1-113-J NH3,PRODUCT PUMP
CONDENSATE PUMP 1-118-J,1-118-J,COND PUMP
CONDENSATE PUMP 1-118-JA,1-118-JA,COND PUMP
1-124-J COLD AMMONIA PRODUCT PUMP,1-124-J COLD,NH3 PUMP
1-124-JA COLD AMMONIA PRODUCT PUMP,1-124-JA,NH3 PUMP
SYNTHESIS GAS TO FLARE HEADDER,SYN GAS->,FLARE HDR
1-105-D SYN. GAS EFFLUENT TO 1-124-C,1-121-C->,1-124-C
1-103-J SYN. GAS COMPRESSOR DISCHARGE,1-103-J 3RD,->1-121-CA
SYN. GAS 1-121-CA/CB BYPASS,1-121-CA->,1-105-D
BFW 1-123-C3 BY-PASS TO 1-141-D,BFW FROM,OSBL
AMMONIA FROM 1-147-D TO 1-149-D TOP,LIQ NH3 147D,->1-149-D
AMMONIA TO 1-152-D,LIQ NH3 FRM,1-147-D
START UP BURNER,START UP,BURNER
Main Burners fuel vent,HV MAIN,FUEL RING
Pilot Burners fuel vent,HV PILOT,FUEL RING
MAIN MOTOR CURRENT,MAIN MOTOR,CURRENT
EXCITER CURRENT,EXITACITON,CURRENT
EXCITATION CURRENT FEEDBACK,EXITACITON,CURRENT FB
EXCITATION CURRENT REFERENCE,EXITACITON,CURRENT
LP GEAR KEYPHASOR (LSS),LP GEAR,KEYPH LSS
LP GEAR KEYPHASOR (HSS),LP GEAR,KEYPH HSS
HP GEAR KEYPHASOR (HSS),HP GEAR,HSS KEYPH
TURBINE KEYPHASOR,TURBINE,KEYPHASOR
1-150-D SYNGAS SUCTION DRUM,1-150-D SYN,GAS DRUM
MAIN MOTOR COOLING WATER LEAK DETECTED,MAIN MOTOR,LEAK DETECTD
1-120-CF1 REFRIGERANT FLASH DRUM,1-120-CF1,FLASH DRUM
GAS AMMONIA FROM 1-152-D,GAS NH3 FROM,1-152-D
FROM SECOND STAGE 1-105-J,2ND STAGE,1-105-J
AMMONIA DRUM TO FLARE HEADER,NH3 DRUM->,FLARE HADER
AMMONIA SEPARATOR 1-146-D LEVEL,1-146-D,NH3 SEP LVL
AMMONIA SCRUBBER 1-123-D LEVEL,1-123-D,NH3 SCRUBBER
1-125-D AMMONIA DISTILLATION COLUMN LEVEL,1-125-D NH3,LVL DIST COL
1-160-C AMMONIA DISTILLATION REBOILER LEVEL,1-160-C NH3,REB. LVL
NH3 FLARE TO HEADER,NH3 FLARE->,HEADER
1-141-D STEAM DRUM LEVEL,1-141-D STM,DRUM LEVEL
186-D MP STEAM BLOWDOWN DRUM LEVEL,186-D MP,BLWD DRUM LV
186-D MP STEAM BLOWDOWN DRUM,186-D MP,BLWD DRUM
1-105-JTC CONDENSER LEVEL,1-105-JTC,CONDENSER
API SEAL PLAN 52,API SEAL,PLAN 52
SYNGAS SUCTION DRUM,1-150-D SYN,GAS DRUM
2ND STAGE REFRIGERANT FLASH DRUM,1-120-CF2,FLASH DRUM
1ST STAGE REFRIGERANT FLASH DRUM,1-120-CF1,FLASH DRUM
AMMONIA ATMOSPHERIC FLASH DRUM,NH3 ATM FLAS,1-152-D
AMMONIA REFRIGERANT,1-149-D RECV,REFRIG
AMMONIA SEPARATOR (1-146-D),1-146-D,NH3 SEPARATR
AMMONIA LETDOWN DRUM (1-147-D),1-147-D,LETDWN DRUM
LP AMMONIA SCRUBBER (1-123-D),1-123-D LP,NH3 SCRUBBER
AMMONIA DISTILLATION COLUMN (1-125-D),1-125-D NH3,LVL DIST COL
AMMONIA DISTILLATION COLUMN REBOILER (1-160-C),1-160-C NH3,REB. LVL
AMMONIA POT LEVEL,NH3 FLARE->,HEADER
STEAM DRUM (1-141-D),1-141-D STM,DRUM LEVEL
HP STEAM BLOWDOWN DRUM (1-186-D),186-D MP,BLWD DRUM
CONDENSATE POT TO 1-105-JTC,COND. POT->,1-105-JTC
SURFACE CONDENSER FOR 1-105-JT,1-105-JTC,CONDENSER
OIL RESERVOIR LEVEL,OIL RESERV,LEVEL
LUBE OIL RUNDOWN TANK LEVEL,LUB OIL TANK,level
AQUA AMMONIA TO PUMP 1-160-J,1-123-D,NH3 SCRUBBER
SYNGAS SUCTION KO DRUM,1-150-D SYN,GAS DRUM
1-152-D TO 1-105-J 1ST STAGE SUCTION DRIP LEG,GAS NH3 FROM,1-152-D
1-120-CF1 TO 1-105-J 2ND STAGE SUCTION DRIP LEG,2ND STAGE,1-105-J
1-120-CF2 TO 1-105-J 3RD STAGE SUCTION DRIP LEG,NH3 DRUM->,FLARE HADER
AMMONIA REFRIGERANT RECEIVER,1-149-D RECV,LEVEL
REFRIGERANT RECIEVER-COLD COMPARTMENT,1-149-D RECV,LEVEL
AMMONIA SEPARATOR 1-146-D,1-146-D,NH3 SEP LVL
AMMONIA LETDOWN DRUM 1-147-D,147D DRUM,LEVEL
LP AMMONIA SCRUBBER 1-123-D,1-123-D,NH3 SCRUBBER
STEAM CONDENSATE FROM 1-160-C TO OSBL,1-160-C NH3,REB. LVL
LIQUID AMMONIA DRAIN POT,NH3 FLARE->,HEADER
MP STEAM BLOWDOWN DRUM (186-D),186-D MP,BLWD DRUM LV
MP STEAM BLOWDOWN DRUM,186-D MP,BLWD DRUM
STEAM DRUM,BFW FROM,OSBL
AMMONIA ATMOSPHERIC FALSH DRUM,1-120-CF2,FLASH DRUM
AMMONIA LET DOWN DRUM 1-147-D,147D DRUM,LEVEL
MP STEAM BLOWDOWN DRUM (1-186-D),186-D MP,BLWD DRUM LV
BLW LROM OSBL,BFW FROM,OSBL
LIQUID NH3 AT DISCHARGE OF PRODUCT PUMP 1-124-J,NH3 ATM FLAS,1-152-D
AQUA AMMONIA TO PUMP 1-160-JA,1-123-D,NH3 SCRUBBER
MCP IN AMMONIA COMPR. HOUSE,MCP IN NH3,COMPR HOUSE
MCP IN AMMONIA REMOVAL UNIT,MCP IN NH3,REMOVAL UNIT
MCP IN AMMONIA SYNTH. LOOP&REFRIG.,MCP IN NH3,SYNTH&REFR
MP STEAM FROM 1-123-C1 TO HEADER,MP STM 123-C,->HEADER
STARTUP HEATER 1-102-B,1-102-B,START UP HTR
Start-up Heater 1-102-B,STARTUP HTR,1-102-B
COMP.  1-105-J 3RD SEC. SUCTION,1-105-J 3ST,SUCTION
LIQUID AMMONIA TO PUMP 1-130-JA,LIQ NH3,PMP 1-130-JA
Liquid Ammonia to Pump 1-130-J,LIQ NH3,PMP 1-130-J
AMMONIA LETDOWN DRUM 1-147-D PRESSURE,1-147-D,PRESSURE
GAS AMMONIA FROM 1-125-D TO 1-127-C,GAS 1-125-D,->1-127-C
1-141-D STEAM DRUM PRESSURE,1-141-D STM,DRUM P.
FROM MP STEAM HEADER,MP STEAM,HEADER
